Serial,Event,Code Province/State,Province/State,Municipality,Date,Month,Day,Year,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Affected,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Agriculture,Year
3763,FLOOD,IDN35,JAWA TIMUR,PAMEKASAN,7-Dec-07,12,7,2007,,1,1,,,,,,,,,,,2007
3429,FLOOD,IDN32,JAWA BARAT,CIANJUR,15-Dec-07,12,15,2007,,,,,,48,,,,,,,,2007
4192,FLOOD,IDN16,SUMATERA SELATAN,KOTA PRABUMULIH,19-Dec-07,12,19,2007,,,,,,,,,,,,,,2007
4165,FLOOD,IDN16,SUMATERA SELATAN,MUSI BANYUASIN,19-Dec-07,12,19,2007,,,,,,,,,,,,,,2007
4173,FLOOD,IDN16,SUMATERA SELATAN,OGAN KOMERING ULU SELATAN,19-Dec-07,12,19,2007,,,,,,,,,,,,,,2007
3616,FLOOD,IDN33,JAWA TENGAH,KUDUS,23-Dec-07,12,23,2007,,,,,,,16088,,,,1,,,2007
4166,FLOOD,IDN16,SUMATERA SELATAN,MUSI BANYUASIN,24-Dec-07,12,24,2007,,,,,,,,,,,,,,2007
3928,FLOOD,IDN13,SUMATERA BARAT,KOTA PADANG,25-Dec-07,12,25,2007,1,,2,,,,160,,,,,,,2007
3602,FLOOD,IDN33,JAWA TENGAH,SRAGEN,25-Dec-07,12,25,2007,5,,,107,8197,,,,,28,14,,,2007
3604,FLOOD,IDN33,JAWA TENGAH,GROBOGAN,25-Dec-07,12,25,2007,,,1,167,3868,,,,,43,14,,,2007
3926,FLOOD,IDN13,SUMATERA BARAT,PESISIR SELATAN,25-Dec-07,12,25,2007,,,,,,,,,,,,,,2007
3927,FLOOD,IDN13,SUMATERA BARAT,PADANG PARIAMAN,25-Dec-07,12,25,2007,,,,,,,,,,,,,,2007
3547,FLOOD,IDN33,JAWA TENGAH,CILACAP,25-Dec-07,12,25,2007,,,,70,,,,,,,,,,2007
3624,FLOOD,IDN33,JAWA TENGAH,DEMAK,25-Dec-07,12,25,2007,,,,,7,,,,,,,,,2007
